criterion,predictor,type,signif_label,H_mean,epsilon2_mean,epsilon2_ci_lower,epsilon2_ci_upper,mean_p_value,signif_prob,mean_k
Anger_P,Anger_A,emotion,yes,138.0250476947641,0.005559289361360024,0.0011838751462520769,0.011522892623765876,4.275505444343781e-05,0.996,5.888888888888889
Anger_P,Fear_A,emotion,yes,82.37043176176576,0.004031981492002652,6.075247130480163e-05,0.013943523872157772,0.017950293471284736,0.8145,6.0
Anger_P,Disgust_A,emotion,no,5.820461019808447,0.00016662165941961835,-0.00027312221948828436,0.0011095543094557742,0.27138592925408,0.05871428571428571,3.656142857142857
Anger_P,Sadness_A,emotion,no,34.629675133251574,0.0024656590571318668,-7.150792484032938e-05,0.016546596888402734,0.1017347323833746,0.5417222222222222,4.953944444444445
Anger_P,Joy_A,emotion,no,15.51329902891228,0.0007599079705210785,-0.00018377866507308902,0.0036433671543894225,0.16157464170985264,0.2536111111111111,4.937388888888889
Anger_P,None_A,emotion,yes,53.49884494869267,0.0029037573410496034,0.00011953289854703965,0.012723388651298814,0.02149945124383965,0.8411666666666666,6.0
Anger_P,NewsroomTopic,NewsroomTopic,yes,2942.0411592141877,0.011736915799467918,0.01089105687508349,0.012605154612304798,0.0,1.0,9.0
Fear_P,Anger_A,emotion,yes,154.30066777211698,0.005011233433535369,0.0014392042729154055,0.012257180114690428,0.0010606904424325663,0.9548333333333333,5.888888888888889
Fear_P,Fear_A,emotion,yes,347.97868786024225,0.013413196941791656,0.005727951789901907,0.031997357764772194,1.6449318907308873e-06,0.9997777777777778,6.0
Fear_P,Disgust_A,emotion,no,17.63447823658834,0.0005349341072379913,-0.0001468559949585063,0.0016882693188396802,0.143061434194089,0.3372142857142857,3.656142857142857
Fear_P,Sadness_A,emotion,yes,49.49804700921176,0.0026671816759074166,5.412901627038874e-05,0.015255846091528372,0.021276487311994018,0.7062777777777778,4.953944444444445
Fear_P,Joy_A,emotion,yes,54.69455514617029,0.0020709308113855893,1.0342950302814052e-05,0.006494823956921342,0.03117038783602381,0.7230555555555556,4.937388888888889
